"module name","licenses","repository","licenseUrl","parents"
"isstream@0.1.2","MIT","https://github.com/rvagg/isstream","https://github.com/rvagg/isstream/raw/master/LICENSE.md","fsevents:chokidar:twake"
"istanbul-api@1.2.1","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-lib-coverage@1.1.1","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-lib-hook@1.1.0","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-lib-instrument@1.9.1","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-lib-report@1.1.2","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-lib-source-maps@1.2.2","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"istanbul-reports@1.1.3","BSD-3-Clause","https://github.com/istanbuljs/istanbuljs","https://github.com/istanbuljs/istanbuljs/raw/master/LICENSE","twake"
"jest-changed-files@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-cli@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-config@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-diff@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-docblock@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-environment-jsdom@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-environment-node@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-haste-map@20.0.5","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-jasmine2@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-matcher-utils@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-matchers@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-message-util@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-mock@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-regex-util@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-resolve-dependencies@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-resolve@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-runtime@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-snapshot@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-util@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest-validate@20.0.3","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jest@20.0.4","BSD-3-Clause","https://github.com/facebook/jest","https://github.com/facebook/jest","twake"
"jodid25519@1.0.2","MIT","https://github.com/meganz/jodid25519","https://github.com/meganz/jodid25519/raw/master/LICENSE","fsevents:chokidar:twake"
"jquery-textcomplete@1.8.4","MIT","https://github.com/yuku-t/jquery-textcomplete","https://github.com/yuku-t/jquery-textcomplete/raw/master/LICENSE","twake"
"jquery@3.2.1","MIT","https://github.com/jquery/jquery","https://github.com/jquery/jquery/raw/master/LICENSE.txt","twake"
"js-base64@2.3.2","BSD-3-Clause","https://github.com/dankogai/js-base64","https://github.com/dankogai/js-base64/raw/master/LICENSE.md","twake"
"js-tokens@3.0.2","MIT","https://github.com/lydell/js-tokens","https://github.com/lydell/js-tokens/raw/master/LICENSE","twake"
"js-yaml@3.10.0","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","twake"
"js-yaml@3.7.0","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","svgo:twake"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn","https://github.com/andyperlitch/jsbn/raw/master/LICENSE","fsevents:chokidar:twake"
"jsdom@9.12.0","MIT","https://github.com/tmpvar/jsdom","https://github.com/tmpvar/jsdom/raw/master/LICENSE.txt","twake"
"jsesc@0.5.0","MIT","https://github.com/mathiasbynens/jsesc","http://mths.be/mit","regjsparser:twake"
"jsesc@1.3.0","MIT","https://github.com/mathiasbynens/jsesc","https://github.com/mathiasbynens/jsesc/raw/master/LICENSE-MIT.txt","twake"
"json-loader@0.5.7","MIT","https://github.com/webpack/json-loader","https://github.com/webpack/json-loader/raw/master/LICENSE","twake"
"json-schema-traverse@0.3.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","twake"
"json-schema@0.2.3","AFLv2.1,BSD","https://github.com/kriszyp/json-schema","http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L43,http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L13","fsevents:chokidar:twake"
"json-stable-stringify@1.0.1","MIT","https://github.com/substack/json-stable-stringify","https://github.com/substack/json-stable-stringify/raw/master/LICENSE","fsevents:chokidar:twake"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe","https://github.com/isaacs/json-stringify-safe/raw/master/LICENSE","fsevents:chokidar:twake"
"json3@3.3.2","MIT","https://github.com/bestiejs/json3","http://kit.mit-license.org/","twake"
"json5@0.5.1","MIT","https://github.com/aseemk/json5","https://github.com/aseemk/json5/raw/master/LICENSE.md","twake"
"jsonfile@2.4.0","MIT","https://github.com/jprichardson/node-jsonfile","https://github.com/jprichardson/node-jsonfile/raw/master/LICENSE","webpack-manifest-plugin:twake"
"jsonfile@3.0.1","MIT","https://github.com/jprichardson/node-jsonfile","https://github.com/jprichardson/node-jsonfile/raw/master/LICENSE","twake"
"jsonify@0.0.0","Public Domain","https://github.com/substack/jsonify","https://github.com/substack/jsonify","fsevents:chokidar:twake"
"jsonpointer@4.0.1","MIT","https://github.com/janl/node-jsonpointer","https://github.com/janl/node-jsonpointer/raw/master/LICENSE.md","twake"
"jsprim@1.4.0","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","fsevents:chokidar:twake"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","twake"
"jstransform@11.0.3","BSD-3-Clause","https://github.com/facebook/jstransform","https://github.com/facebook/jstransform/raw/master/LICENSE","twake"
"jsx-ast-utils@1.4.1","MIT","https://github.com/evcohen/jsx-ast-utils","https://github.com/evcohen/jsx-ast-utils/raw/master/LICENSE.md","twake"
"jsx-ast-utils@2.0.1","MIT","https://github.com/evcohen/jsx-ast-utils","https://github.com/evcohen/jsx-ast-utils/raw/master/LICENSE.md","eslint-plugin-react:twake"
"keycode@2.1.9","MIT","https://github.com/timoxley/keycode","https://github.com/timoxley/keycode/raw/master/LICENSE","twake"
"killable@1.0.0","ISC","https://github.com/marten-de-vries/killable","https://github.com/marten-de-vries/killable","twake"
"kind-of@2.0.1","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","shallow-clone:twake"
"kind-of@3.2.2","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","twake"
"kind-of@4.0.0","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","randomatic:twake"
"klaw@1.3.1","MIT","https://github.com/jprichardson/node-klaw","https://github.com/jprichardson/node-klaw/raw/master/LICENSE","twake"
"latest-version@2.0.0","MIT","https://github.com/sindresorhus/latest-version","https://github.com/sindresorhus/latest-version/raw/master/license","twake"
"latest-version@3.1.0","MIT","https://github.com/sindresorhus/latest-version","https://github.com/sindresorhus/latest-version/raw/master/license","nodemon:twake"
"lazy-cache@0.2.7","MIT","https://github.com/jonschlinkert/lazy-cache","https://github.com/jonschlinkert/lazy-cache/raw/master/LICENSE","twake"
